POP,HFI,AGRI,NITRO,PHOSF,POTAS,GDP_1990,GDP_1991,GDP_1992,GDP_1993,GDP_1994,GDP_1995,GDP_1996,GDP_1997,GDP_1998,GDP_1999,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,HDI_1990,HDI_1991,HDI_1992,HDI_1993,HDI_1994,HDI_1995,HDI_1996,HDI_1997,HDI_1998,HDI_1999,HDI_2000,HDI_2001,HDI_2002,HDI_2003,HDI_2004,HDI_2005,HDI_2006,HDI_2007,HDI_2008,HDI_2009,HDI_2010,HDI_2011,HDI_2012,HDI_2013,HDI_2014,HDI_2015
178.09,22.80,0.39,38471.37,12828.08,5923.25,1806.46,1782.93,1804.28,1910.51,1937.11,1917.34,1886.87,1832.59,1894.65,2130.11,2446.24,2626.16,2827.68,2900.50,3006.01,3237.86,3308.12,3417.36,3559.61,3657.73,3754.95,3951.20,4119.69,4338.04,4595.55,4884.03,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.48,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62
165.81,30.26,0.41,54988.51,21453.24,9022.56,1836.00,1855.24,1932.95,1993.22,2016.16,2014.68,2002.40,1941.94,1957.25,2087.56,2210.03,2385.32,2327.62,2445.51,2652.04,2950.30,2953.33,3107.36,3263.02,3567.79,3798.66,3998.88,4173.05,4397.75,4661.34,4950.51,0.42,0.42,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.48,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.55,0.56,0.57,0.58,0.59,0.60,0.60,0.61
7.15,12.28,0.11,9788.34,4104.50,1437.97,1683.85,1747.20,1826.68,1872.23,1894.37,1887.45,1870.65,1860.67,1941.06,2120.80,2275.78,2575.61,2576.75,2756.70,2996.85,3365.89,3519.19,3825.35,4021.17,4471.51,4735.07,5054.34,5331.94,5656.14,6010.92,6390.32,0.42,0.42,0.43,0.44,0.45,0.45,0.46,0.47,0.48,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.58,0.59,0.60,0.61,0.61
157.65,29.11,0.17,59161.22,21615.35,10007.76,1908.11,1803.03,1682.48,1930.66,2095.12,2191.85,2245.59,2228.00,2290.23,2481.70,2671.86,2845.94,3014.44,3186.88,3409.82,3691.65,3725.39,3983.41,4529.04,5911.88,6550.33,6898.78,7198.63,7583.53,8035.07,8538.68,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48,0.49,0.49,0.50,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.60,0.61,0.61,0.62,0.63
163.85,20.44,0.24,89058.56,31954.40,12532.51,1642.72,1572.46,1574.26,1567.74,1603.97,1670.98,1754.91,1794.83,1882.59,2032.26,2100.92,2137.08,2249.74,2308.02,2437.60,2450.45,2490.51,2529.19,2613.74,2712.56,2838.90,2987.27,3114.66,3279.75,3474.43,3692.54,0.42,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.48,0.48,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.55,0.56,0.57,0.58,0.59,0.60,0.61
67.49,16.50,0.41,29508.57,10815.29,5535.26,1973.19,2046.78,2165.89,2269.16,2285.30,2243.52,2175.47,2058.54,2040.86,2175.01,2350.43,2627.79,2467.02,2622.53,2861.61,3341.70,3344.60,3567.05,3778.23,4193.54,4488.01,4724.22,4929.27,5193.99,5504.80,5846.98,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62
165.94,29.42,0.19,71487.65,25193.59,13187.76,1898.48,1798.15,1682.42,1916.17,2075.78,2174.82,2234.90,2224.39,2291.46,2483.35,2666.26,2837.71,2997.81,3169.59,3388.48,3648.19,3688.38,3940.94,4457.88,5772.34,6391.38,6731.14,7023.49,7398.90,7839.39,8330.77,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.48,0.49,0.50,0.50,0.51,0.51,0.53,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.62,0.63
87.68,21.21,0.23,59684.13,13303.39,16274.12,1817.73,1821.63,1884.26,1918.05,2026.17,2167.28,2284.72,2416.86,2578.67,2784.30,2913.51,3139.86,3407.92,3598.59,3766.56,3914.61,4183.95,4735.56,4888.48,5246.49,5651.68,6046.36,6336.63,6546.99,6885.44,7157.20,0.46,0.46,0.47,0.47,0.48,0.48,0.49,0.49,0.50,0.51,0.51,0.52,0.52,0.53,0.54,0.54,0.55,0.56,0.56,0.57,0.57,0.58,0.59,0.60,0.60,0.61
163.91,23.04,0.41,35592.16,12302.04,5257.25,1802.84,1778.67,1799.67,1904.09,1931.17,1913.23,1884.97,1832.32,1894.52,2127.73,2438.21,2615.10,2814.82,2887.44,2994.64,3221.93,3290.78,3398.55,3538.86,3636.87,3734.19,3929.35,4096.91,4314.06,4570.14,4857.02,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.48,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62
55.87,16.06,0.14,32190.22,12679.72,4673.95,1453.44,1479.05,1510.92,1510.43,1540.72,1572.33,1610.26,1685.21,1834.86,2046.28,2185.13,2443.75,2607.99,2777.55,2989.74,3203.05,3445.20,3756.95,3915.97,4299.65,4502.46,4844.41,5142.76,5475.49,5828.13,6195.39,0.41,0.42,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.59,0.60,0.61
