BLD_D2.5cm,BLD_D10cm,BLD_D22.5cm,BLD_D45cm,BLD_D80cm,BLD_D150cm,CLYPPT_D2.5cm,CLYPPT_D10cm,CLYPPT_D22.5cm,CLYPPT_D45cm,CLYPPT_D80cm,CLYPPT_D150cm,CRFVOL_D2.5cm,CRFVOL_D10cm,CRFVOL_D22.5cm,CRFVOL_D45cm,CRFVOL_D80cm,CRFVOL_D150cm,ORCDRC_D2.5cm,ORCDRC_D10cm,ORCDRC_D22.5cm,ORCDRC_D45cm,ORCDRC_D80cm,ORCDRC_D150cm,SLTPPT_D2.5cm,SLTPPT_D10cm,SLTPPT_D22.5cm,SLTPPT_D45cm,SLTPPT_D80cm,SLTPPT_D150cm,SNDPPT_D2.5cm,SNDPPT_D10cm,SNDPPT_D22.5cm,SNDPPT_D45cm,SNDPPT_D80cm,SNDPPT_D150cm
970.46,987.30,1014.82,1060.49,1114.99,1163.85,15.10,16.48,18.43,20.30,20.24,18.89,31.56,32.82,35.33,40.43,45.08,48.07,69.58,58.92,44.93,28.77,16.75,9.50,29.37,28.72,27.80,26.77,26.21,25.86,45.55,44.81,43.78,42.93,43.56,45.27
1168.89,1187.42,1217.68,1267.91,1327.85,1381.60,18.40,20.07,22.37,24.58,24.51,22.88,27.35,28.41,30.58,35.02,39.14,41.85,74.60,63.17,48.16,30.85,17.95,10.19,31.05,30.32,29.30,28.17,27.59,27.27,49.55,48.61,47.32,46.26,46.92,48.87
1348.07,1366.76,1397.35,1448.08,1508.61,1562.90,27.23,29.14,31.71,34.10,34.09,32.45,10.67,10.64,10.99,12.47,14.15,15.44,28.47,24.11,18.38,11.77,6.85,3.88,34.69,33.83,32.68,31.44,30.84,30.57,38.10,37.04,35.64,34.48,35.09,36.98
1159.78,1177.77,1207.16,1255.95,1314.17,1366.37,18.31,19.93,22.15,24.28,24.22,22.67,15.13,15.58,16.61,18.99,21.29,22.84,59.94,50.76,38.70,24.79,14.43,8.19,28.89,28.19,27.22,26.13,25.55,25.19,48.96,48.04,46.79,45.75,46.41,48.30
1141.25,1159.76,1189.99,1240.18,1300.07,1353.76,17.54,19.18,21.46,23.65,23.57,21.94,29.28,30.47,32.84,37.63,42.03,44.91,79.84,67.60,51.54,33.01,19.22,10.91,29.62,28.91,27.91,26.78,26.20,25.86,51.73,50.81,49.54,48.48,49.16,51.13
994.05,1010.40,1037.12,1081.46,1134.38,1181.82,11.08,12.29,14.03,15.75,15.69,14.40,27.58,29.03,31.64,36.30,40.28,42.70,90.48,76.61,58.42,37.41,21.78,12.36,26.95,26.38,25.55,24.58,24.02,23.63,49.37,48.73,47.83,47.08,47.72,49.40
1172.86,1191.17,1221.09,1270.76,1330.03,1383.16,20.81,22.50,24.81,27.01,26.96,25.41,22.12,22.99,24.70,28.24,31.50,33.63,54.54,46.19,35.22,22.56,13.13,7.44,32.09,31.29,30.20,29.02,28.42,28.12,45.01,44.11,42.89,41.88,42.52,44.40
1147.67,1165.81,1195.45,1244.65,1303.36,1356.00,16.42,17.93,20.05,22.10,22.05,20.57,25.01,26.18,28.38,32.56,36.27,38.59,73.72,62.42,47.59,30.48,17.75,10.07,33.57,32.84,31.80,30.64,30.04,29.71,46.99,46.21,45.14,44.25,44.90,46.72
847.95,863.57,889.09,931.45,981.99,1027.31,10.98,12.12,13.76,15.37,15.31,14.11,31.10,32.56,35.30,40.43,44.93,47.70,76.53,64.80,49.41,31.65,18.43,10.45,25.18,24.65,23.87,22.97,22.42,22.02,47.31,46.70,45.83,45.12,45.73,47.34
847.59,863.21,888.72,931.08,981.60,1026.92,10.97,12.10,13.75,15.36,15.29,14.09,31.10,32.56,35.30,40.44,44.93,47.70,76.56,64.82,49.43,31.66,18.43,10.46,25.17,24.64,23.86,22.96,22.41,22.01,47.32,46.71,45.84,45.13,45.74,47.35
1355.29,1373.98,1404.52,1455.21,1515.70,1569.94,28.43,30.32,32.87,35.25,35.24,33.65,10.29,10.07,10.21,11.55,13.18,14.50,29.27,24.78,18.90,12.10,7.04,4.02,35.75,34.91,33.77,32.56,31.98,31.73,35.74,34.67,33.26,32.11,32.70,34.55
1386.78,1405.49,1436.08,1486.80,1547.34,1601.65,25.43,27.35,29.89,32.26,32.27,30.59,17.55,17.75,18.63,21.22,23.84,25.75,31.21,26.42,20.14,12.90,7.52,4.28,43.55,42.74,41.62,40.39,39.87,39.67,31.01,29.94,28.49,27.34,27.87,29.69
1418.79,1437.42,1467.98,1518.84,1579.28,1633.65,28.25,30.00,32.52,34.72,34.68,33.18,6.23,5.94,5.96,6.78,7.81,8.60,19.00,15.97,12.31,7.84,4.61,2.66,39.55,38.92,37.69,36.66,36.08,35.83,32.19,31.14,29.84,28.72,29.28,30.97
1344.76,1363.45,1394.02,1444.73,1505.26,1559.51,24.42,26.34,28.85,31.21,31.18,29.55,17.74,18.00,18.93,21.58,24.23,26.10,33.88,28.68,21.87,14.01,8.15,4.62,41.42,40.56,39.42,38.20,37.68,37.45,34.12,33.07,31.69,30.55,31.13,32.96
1075.37,1093.33,1122.67,1171.37,1229.48,1281.59,14.22,15.67,17.72,19.72,19.63,18.15,26.80,27.96,30.21,34.63,38.64,41.21,82.40,69.77,53.20,34.07,19.84,11.25,27.39,26.75,25.85,24.82,24.23,23.85,54.33,53.52,52.38,51.43,52.11,54.01
1008.60,1025.62,1053.43,1099.59,1154.66,1204.05,15.92,17.35,19.36,21.28,21.24,19.84,29.33,30.44,32.71,37.42,41.75,44.55,64.65,54.75,41.74,26.74,15.56,8.83,30.52,29.86,28.92,27.87,27.31,26.97,44.52,43.75,42.68,41.81,42.43,44.16
1237.65,1256.35,1286.94,1337.67,1398.23,1452.50,22.26,24.08,26.53,28.85,28.80,27.19,27.80,28.61,30.49,34.82,38.90,41.60,48.21,40.82,31.12,19.94,11.61,6.58,37.69,36.85,35.74,34.51,33.96,33.69,40.05,39.06,37.74,36.64,37.26,39.15
1170.91,1189.62,1220.19,1270.93,1331.48,1385.76,24.86,26.68,29.16,31.47,31.46,29.86,16.67,17.19,18.35,20.99,23.55,25.27,40.99,34.71,26.47,16.96,9.86,5.59,32.85,32.02,30.86,29.62,29.02,28.74,42.29,41.31,40.00,38.93,39.54,41.44
1155.54,1174.25,1204.84,1255.55,1316.12,1370.38,20.50,22.24,24.57,26.82,26.76,25.21,37.05,38.45,41.31,47.29,52.84,56.42,65.16,55.18,42.06,26.94,15.69,8.91,35.10,34.26,33.17,31.94,31.38,31.08,44.41,43.49,42.25,41.22,41.86,43.77
1326.84,1345.55,1376.13,1426.86,1487.41,1541.69,26.85,28.73,31.26,33.63,33.62,32.02,14.69,14.75,15.33,17.44,19.73,21.45,34.57,29.27,22.32,14.30,8.32,4.72,36.39,35.56,34.41,33.19,32.61,32.35,36.77,35.71,34.31,33.18,33.78,35.65
1192.15,1210.86,1241.42,1292.15,1352.67,1406.95,23.35,25.16,27.59,29.91,29.88,28.29,24.56,25.14,26.65,30.45,34.21,36.85,53.17,45.03,34.34,21.99,12.80,7.26,35.89,35.05,33.90,32.68,32.08,31.82,40.78,39.79,38.49,37.41,38.03,39.90
1383.67,1402.32,1432.89,1483.69,1544.16,1598.49,23.81,25.71,28.26,30.76,30.71,28.98,12.04,11.93,12.34,14.01,15.92,17.31,26.67,22.58,17.25,11.03,6.40,3.70,41.97,41.22,40.00,38.75,38.18,37.97,34.25,33.17,31.74,30.53,31.13,33.07
1159.79,1177.78,1207.18,1255.96,1314.18,1366.37,18.31,19.93,22.15,24.28,24.22,22.67,15.13,15.58,16.61,18.99,21.28,22.84,59.93,50.75,38.70,24.78,14.43,8.19,28.89,28.19,27.22,26.14,25.55,25.19,48.95,48.04,46.79,45.75,46.40,48.30
1200.58,1219.27,1249.88,1300.60,1361.13,1415.42,19.00,20.69,22.98,25.22,25.18,23.58,30.50,31.75,34.21,39.22,43.83,46.83,60.40,51.14,39.00,24.97,14.54,8.25,32.95,32.17,31.09,29.91,29.26,28.93,48.05,47.14,45.94,44.90,45.58,47.55
774.31,789.17,813.44,853.73,901.80,944.91,8.66,9.66,11.13,12.59,12.51,11.41,31.67,33.28,36.21,41.48,46.01,48.73,79.81,67.58,51.53,33.01,19.21,10.90,22.70,22.24,21.55,20.73,20.19,19.76,48.03,47.49,46.71,46.06,46.67,48.22
950.12,966.85,994.18,1039.54,1093.67,1142.20,14.45,15.80,17.71,19.55,19.50,18.16,32.13,33.45,36.04,41.25,45.98,48.99,72.07,61.02,46.53,29.80,17.35,9.84,28.63,28.00,27.09,26.07,25.52,25.15,46.32,45.59,44.59,43.76,44.39,46.09
1350.63,1369.33,1399.91,1450.64,1511.20,1565.48,30.17,32.04,34.61,36.95,36.95,35.38,12.88,12.36,12.29,13.85,15.92,17.67,34.21,28.98,22.09,14.14,8.24,4.67,39.62,38.84,37.71,36.51,35.97,35.74,30.24,29.13,27.71,26.53,27.08,28.89
936.06,952.68,979.83,1024.90,1078.67,1126.88,13.95,15.28,17.16,18.97,18.92,17.59,32.27,33.63,36.29,41.54,46.28,49.27,73.61,62.33,47.53,30.44,17.72,10.05,28.16,27.54,26.64,25.64,25.08,24.71,46.70,46.00,45.01,44.20,44.82,46.52
1020.19,1036.87,1064.13,1109.38,1163.37,1211.77,12.09,13.36,15.17,16.96,16.89,15.57,27.97,29.42,32.06,36.78,40.83,43.29,88.64,75.06,57.23,36.66,21.34,12.11,28.11,27.51,26.65,25.65,25.07,24.70,48.97,48.30,47.37,46.59,47.23,48.94
1133.29,1151.99,1182.59,1233.32,1293.88,1348.14,20.17,21.94,24.26,26.56,26.50,24.92,33.91,35.07,37.57,42.97,48.20,51.65,65.96,55.85,42.62,27.26,15.87,9.04,35.35,34.55,33.35,32.04,31.45,31.21,44.49,43.56,42.32,41.39,42.03,43.89
1251.00,1269.72,1300.28,1351.02,1411.58,1465.86,25.55,27.38,29.92,32.25,32.23,30.64,22.16,22.56,23.75,27.10,30.53,32.99,44.42,37.62,28.67,18.37,10.69,6.07,36.21,35.34,34.19,32.97,32.39,32.13,38.30,37.27,35.90,34.77,35.40,37.27
1156.95,1175.66,1206.23,1256.97,1317.52,1371.80,24.28,26.09,28.55,30.86,30.85,29.24,16.83,17.38,18.59,21.28,23.85,25.57,43.29,36.67,27.96,17.92,10.41,5.91,32.60,31.77,30.60,29.37,28.76,28.47,43.13,42.15,40.86,39.81,40.42,42.32
1280.47,1299.11,1329.58,1380.15,1440.49,1494.59,30.85,32.79,35.32,37.64,37.66,36.10,13.13,13.27,13.87,15.79,17.84,19.35,16.45,13.93,10.62,6.80,3.97,2.23,25.95,25.12,24.02,22.87,22.27,21.93,42.87,41.78,40.37,39.19,39.78,41.66
