"URBAN","MIXED_SETTLEMENTS","RICE_VILLAGES","IRRIGATED_VILLAGES","RAINFED_VILLAGES","PASTORAL_VILLAGES","RESIDENTIAL_IRRIGATED_CROPLANDS","RESIDENTIAL_RAINFED_CROPLANDS","POPULATED_CROPLANDS","REMOTE_CROPLANDS","RESIDENTIAL_RANGELANDS","POPULATED_RANGELANDS","REMOTE_RANGELANDS","RESIDENTIAL_WOODLANDS","POPULATED_WOODLANDS","REMOTE_WOODLANDS","INHABITED_TREELESS_AND_BARREN_LANDS","WILD_WOODLANDS","WILD_TREELESS_AND_BARREN_LANDS"
0.045229490501807,1.32520222170753,6.23271119113065,0.0873999816460038,3.84647319224063,0.21849995411501,0.327749931172514,4.44494456656164,7.51202842247403,2.89272089252861,6.21217219544384,26.8173733683516,15.6782457075684,7.59920990416592,10.8981222113943,1.20480874699016,3.98893516232362,0.131099972469006,0.515222891803193
0,1.95771339075959,0,0,1.78151918559123,0,0,7.2043852779953,16.1511354737666,3.91542678151919,1.97729052466719,7.75254502740799,12.0203602192639,8.49647611589663,20.7713390759593,16.9342208300705,1.03758809710258,0,0
0,0,0,0,0,0,0,0.793992255642039,34.7440059451637,11.7847224938397,1.44717800289436,20.1196855321313,12.1562952243126,0.269879141080299,7.24371259827121,0.144717800289436,10.6504478429225,0,0.645363163452889
0,0,1.78948134138357,0.727431439586819,0,0,3.12068087582745,3.76809485705972,9.17291045318979,0,0,0.436458863752091,0.305521204626464,14.0976212991926,53.8517494726122,0.596493780461192,10.3004291845494,0,1.83312722775878
0,0,0,0,1.70711396621461,0,0,7.54223173923388,9.89174399238639,7.01284796573876,0,0.0118962645729241,2.81346657149655,0.874375446109921,15.6495360456817,15.8398762788484,27.0461575065429,3.16440637639781,8.44634784677611
0,8.99487338822433,0,0.0466055615970172,1.49137797110455,0,0,1.75547615348765,2.45455957744291,0,4.84697840608979,10.0201957433587,2.39241882864689,13.1893739319559,3.10703743980115,0,48.9358396768681,0,2.76526332142302
0,8.93967661691542,0,0.0466417910447761,1.47699004975124,0,0,1.7568407960199,2.45646766169154,0,4.85074626865672,10.0279850746269,2.39427860696517,13.1996268656716,3.10945273631841,0,48.9738805970149,0,2.76741293532338
0,6.56793303283967,5.78450311225585,0,1.37368534020176,0,0,3.26250268297918,0.236102167847177,0,0,0,0,75.2414681262073,7.53380553766903,0,0,0,0
0,0,28.9740698985344,0,5.52423900789177,0,0,31.2288613303269,0,0,0,0,0,13.5287485907554,20.7440811724915,0,0,0,0
0,0,0,0,40.3669724770642,0,0,47.7064220183486,0,0,0,0,0,0,0,11.9266055045872,0,0,0
